"SLC34A3|142680"
"IL32|9235"
"JAKMIP2|9832"
"TNFSF4|7292"
"CST1|1469"
"SLC7A8|23428"
"LOC642852|642852"
"GALNT9|50614"
"TNXB|7148"
"SOX2OT|347689"
"ACTR10|55860"
"ZNF823|55552"
"POLRMT|5442"
"A2M|2"
"TXNRD3IT1|645840"
"CST3|1471"
"TMED1|11018"
"CHST8|64377"
"CCNJL|79616"
"C20orf203|284805"
"SAMD12|401474"
"C19orf6|91304"
"LACTB2|51110"
"PHF23|79142"
"COL11A1|1301"
"METTL12|751071"
"RBM3|5935"
"DUS1L|64118"
"LRRK2|120892"
"WNT9A|7483"
"SNHG3-RCC1|751867"
"PYCR1|5831"
"ANO4|121601"
"TMED4|222068"
"LOC100130932|100130932"
"SV2A|9900"
"LOC100133331|100133331"
"PDDC1|347862"
"MT1M|4499"
"OVCH2|341277"
"EED|8726"
"MYEOV2|150678"
"PSMA1|5682"
"TMEM45A|55076"
"NCF1C|654817"
"FAM69C|125704"
"DULLARD|23399"
"POLE|5426"
"KLHL22|84861"
"HDHD1A|8226"
"ATP12A|479"
"CLTB|1212"
"TXN|7295"
"ABCC4|10257"
"LNP1|348801"
"GPX2|2877"
"USP19|10869"
"UXT|8409"
"MMP23B|8510"
"PCDH20|64881"
"USP13|8975"
"SLC17A5|26503"
"CDSN|1041"
"HSD11B2|3291"
"AHCYL1|10768"
"MUC12|10071"
"VCAM1|7412"
"UBE2D4|51619"
"GREB1L|80000"
"KCNK15|60598"
"KISS1|3814"
"PRR19|284338"
"TRPT1|83707"
"CBWD5|220869"
"SBF2|81846"
"PCDHGB7|56099"
"GDF11|10220"
"COL23A1|91522"
"C20orf46|55321"
"LOC642587|642587"
"ROMO1|140823"
"STK36|27148"
"BOLA3|388962"
"NME2P1|283458"
"PIP5K1B|8395"
"LOC613037|613037"
"HYLS1|219844"
"TIMM8B|26521"
"PSMD13|5719"
"SCPEP1|59342"
"BCAN|63827"
"ST5|6764"
"PCSK4|54760"
"PMCHL2|5370"
"SPTLC3|55304"
"OSR2|116039"
"MTG1|92170"
"TBC1D4|9882"
"RHBG|57127"
"DAD1|1603"
"ADAT1|23536"
"EIF3C|8663"
"PPRC1|23082"
"ZFPL1|7542"
"RUVBL1|8607"
"SLC27A6|28965"
"LAMP1|3916"
"TRPV1|7442"
"HGS|9146"
"SYT14|255928"
"SHROOM4|57477"
"TNC|3371"
"LCN12|286256"
"TNNI3K|51086"
"NANOS1|340719"
"MED16|10025"
"SLCO1B3|28234"
"GDPD1|284161"
"CXCL6|6372"
"EIF4G1|1981"
"LYG2|254773"
"ZNF879|345462"
"IMPAD1|54928"
"NUDT1|4521"
"CHMP4C|92421"
"ESR2|2100"
"LHFPL3|375612"
"PGAM1|5223"
"GOLGA2B|55592"
"DMD|1756"
"MYO3A|53904"
"RRAD|6236"
"SLC35F1|222553"
"DLGAP1|9229"
"MAN2A2|4122"
"TSPAN9|10867"
"ALDH18A1|5832"
"KIF26B|55083"
"MYO1C|4641"
"ZNF177|7730"
"NARS2|79731"
"DACH2|117154"
"GTF2H4|2968"
"ZNF414|84330"
"RNASEH2C|84153"
"GNL3|26354"
"SCUBE1|80274"
"HNRNPD|3184"
"EPB41L4B|54566"
"COMMD9|29099"
"GGA3|23163"
"RARRES2|5919"
"SHOX2|6474"
"MEIG1|644890"
"CLEC18C|283971"
"CDRT15P|94158"
"PSME2|5721"
"KLC1|3831"
"SERBP1|26135"
"IFI6|2537"
"GRIN2C|2905"
"SNX31|169166"
"GSTP1|2950"
"RGS19|10287"
"GRIA3|2892"
"MAP2K5|5607"
"EPHA4|2043"
"CA14|23632"
"COPB1|1315"
"TTLL4|9654"
"UBE2B|7320"
"LOC100128239|100128239"
"FAM181B|220382"
"RBP5|83758"
