"logFC"	"AveExpr"	"t"	"P.Value"
"GOLPH3"	-0.25176386869883	0.0542462767678571	-2.25872199201314	0.0277023263217071
"SLC12A9"	0.228056929087719	-0.1082773425	2.25786308761053	0.0277591406914661
"SFT2D2"	-0.319261945517544	0.163398916625	-2.25757708854278	0.0277780816789777
"DUS2L"	0.207739158134503	0.00201778325	2.25626357747923	0.0278652190938689
"MAP3K12"	0.247208109190058	-0.0839580866964286	2.25565145656373	0.0279059093121443
"MPV17"	0.234489125891813	0.102411206303571	2.25300475770222	0.0280824519515479
"EIF3B"	0.281931935497076	-0.0809289592857143	2.24914261285578	0.0283418406936689
"DDX56"	0.356136790505848	-0.159397506589286	2.24780297476363	0.0284323067675326
"NEFH"	0.993629089119883	-0.478415218696429	2.24764454670275	0.0284430223120247
"BMP15"	0.198688903002924	-0.160126331696429	2.24746579273997	0.0284551169185233
"HIST1H4A"	-0.317833497350877	-0.225280175321429	-2.24678781396722	0.0285010307200561
"LANCL2"	0.346987094260234	-0.134996712803571	2.24445770399662	0.0286593291015673
"RASGRP1"	0.417990265847953	0.0972475187857143	2.24239929307847	0.0287998151278302
"MBOAT5"	0.335153065950292	0.0485002648035714	2.24182391655913	0.0288391930770152
"AKAP10"	0.194692217406433	0.162717048125	2.24145253993474	0.028864634815433
"IQSEC1"	0.20390025751462	0.11179392825	2.23408240170714	0.0293736549755198
"DCX"	-0.179085871947368	-0.189756047035714	-2.23244057987289	0.0294881212162054
"PLSCR4"	0.482790763751462	0.176702668517857	2.23196945398657	0.0295210402747753
"KCNK2"	0.445409453994152	0.466683489892857	2.23133798156864	0.0295652141222301
"APOBEC3B"	-0.727069736847953	0.183782328392857	-2.22902728148527	0.0297273538630549
"GNL3L"	0.241154668552631	-0.112180545446429	2.22450556746068	0.0300469096357247
"FZD3"	-0.458980215649123	-0.247933705714286	-2.22407642455289	0.0300773945956067
"KIF1C"	0.245535304900585	0.0122568905	2.2239308155488	0.0300877443962074
"WDR47"	0.250738592894737	0.0621843903214286	2.22323642327085	0.0301371445966071
"EFCAB6"	0.385102367093567	-0.354555223607143	2.22276730244752	0.0301705590866892
"CYBRD1"	0.492433133432749	0.423233986392857	2.22129634296998	0.0302755443397434
"TMEM40"	-0.464782840190059	-0.185918265767857	-2.22118733722321	0.0302833370960808
